id,source_proposal,title,description,category,dataset,artifact_kind,query_type,platform,mitre,validation_status,performance_rating,file
N063,TH-039,Cyber Hygiene - Remote Desktop Observations without a Matching Scoped Approval,"Compares verified remote-desktop software observations with time-valid approvals scoped to endpoint, principal, product and version. Returns unmatched observations for policy review and keeps inventory evidence distinct from process execution.",Cyber Hygiene / Software Approval,"[""{{REMOTE_DESKTOP_APPROVAL_HISTORY}}"", ""{{REMOTE_DESKTOP_SOFTWARE_OBSERVATIONS}}""]",SCHEMA_BINDING_TEMPLATE,Threat Hunting,Cortex XSIAM / Interactive XQL Search,"{""id"": ""T1219.002"", ""technique"": ""Remote Desktop Software"", ""tactics"": ""Command and Control (TA0011)""}",REQUIRES_SCHEMA_BINDING,MEDIUM,queries/cyber-hygiene/software-approval/n063-cyber-hygiene-remote-desktop-observations-without-a-matching-scoped-approval.xql
N064,TH-040,Threat Hunting - Large Archive Creation with Observed Input Context,"Links a process observed accessing many distinct input files to a sufficiently large archive it creates, preserving sensitive-data classification context. Supports staging investigation and later transfer pivots without equating an archiver command with a completed archive.",Threat Hunting / Data Staging,"[""{{ARCHIVE_INPUT_OBSERVATIONS}}"", ""{{ARCHIVE_OUTPUT_CREATIONS}}""]",SCHEMA_BINDING_TEMPLATE,Threat Hunting,Cortex XSIAM / Interactive XQL Search,"{""id"": ""T1560.001"", ""technique"": ""Archive via Utility"", ""tactics"": ""Collection (TA0009)""}",REQUIRES_SCHEMA_BINDING,MEDIUM,queries/threat-hunting/data-staging/n064-threat-hunting-large-archive-creation-with-observed-input-context.xql
N065,TH-041,Threat Hunting - Successful Uploads to Externally Owned Cloud Storage,"Selects successful object-upload/write events with measured outbound volume and confirmed external destination ownership. Requires upload-capable proxy, CASB or storage data-event telemetry; an observed storage domain or TLS connection is insufficient.",Threat Hunting / Cloud Transfers,"[""{{CLOUD_STORAGE_UPLOAD_EVENTS}}""]",SCHEMA_BINDING_TEMPLATE,Threat Hunting,Cortex XSIAM / Interactive XQL Search,"{""id"": ""T1567.002"", ""technique"": ""Exfiltration to Cloud Storage"", ""tactics"": ""Exfiltration (TA0010)""}",REQUIRES_SCHEMA_BINDING,MEDIUM,queries/threat-hunting/cloud-transfers/n065-threat-hunting-successful-uploads-to-externally-owned-cloud-storage.xql
N066,TH-042,Threat Hunting - Recovery Tampering Requests and Observed State Changes,Links selected recovery-control change requests to independently observed resource state changes on the same endpoint. Preserves requests without confirmed effects and distinguishes backup maintenance from conclusions about inhibited recovery.,Threat Hunting / Recovery Controls,"[""{{RECOVERY_CHANGE_AUDIT}}"", ""{{RECOVERY_STATE_CHANGES}}""]",SCHEMA_BINDING_TEMPLATE,Threat Hunting,Cortex XSIAM / Interactive XQL Search,"{""id"": ""T1490"", ""technique"": ""Inhibit System Recovery"", ""tactics"": ""Impact (TA0040)""}",REQUIRES_SCHEMA_BINDING,MEDIUM,queries/threat-hunting/recovery-controls/n066-threat-hunting-recovery-tampering-requests-and-observed-state-changes.xql
N067,TH-043,Threat Hunting - Mass File Mutation Candidates by Process,"Counts distinct files successfully written, renamed or deleted by one process in fixed five-minute windows. Supports investigation of bulk changes while distinguishing mutation volume from encryption, ransomware or destructive intent.",Threat Hunting / File Activity,"[""{{FILE_MUTATION_EVENTS}}""]",SCHEMA_BINDING_TEMPLATE,Threat Hunting,Cortex XSIAM / Interactive XQL Search,"{""id"": ""T1486"", ""technique"": ""Data Encrypted for Impact"", ""tactics"": ""Impact (TA0040)""}",REQUIRES_SCHEMA_BINDING,MEDIUM,queries/threat-hunting/file-activity/n067-threat-hunting-mass-file-mutation-candidates-by-process.xql
N068,TH-044,Threat Hunting - Observed Stops of Critical Services,Selects observed running-to-stopped transitions for services classified as critical at event time. Retains attributable actor/request context when available and supports maintenance and dependency review without equating a stop command with a completed stop.,Threat Hunting / Service Availability,"[""{{CRITICAL_SERVICE_HISTORY}}"", ""{{SERVICE_STATE_TRANSITIONS}}""]",SCHEMA_BINDING_TEMPLATE,Threat Hunting,Cortex XSIAM / Interactive XQL Search,"{""id"": ""T1489"", ""technique"": ""Service Stop"", ""tactics"": ""Impact (TA0040)""}",REQUIRES_SCHEMA_BINDING,MEDIUM,queries/threat-hunting/service-availability/n068-threat-hunting-observed-stops-of-critical-services.xql
N069,TH-045,Threat Hunting - Sustained CPU Use with Attributed Mining Communication,"Correlates sustained high CPU samples with independently identified mining communication from the same process within a fixed 15-minute interval. Requires genuine resource metrics and protocol attribution; software names, ports and EDR row counts do not establish cryptomining.",Threat Hunting / Resource Abuse,"[""{{IDENTIFIED_MINING_PROTOCOL_EVENTS}}"", ""{{PROCESS_RESOURCE_METRICS}}""]",SCHEMA_BINDING_TEMPLATE,Threat Hunting,Cortex XSIAM / Interactive XQL Search,"{""id"": ""T1496.001"", ""technique"": ""Compute Hijacking"", ""tactics"": ""Impact (TA0040)""}",REQUIRES_SCHEMA_BINDING,MEDIUM,queries/threat-hunting/resource-abuse/n069-threat-hunting-sustained-cpu-use-with-attributed-mining-communication.xql
N070,TH-046,Threat Hunting - AWS Attachments of Reviewed High-Privilege Policies,Finds AWS IAM managed-policy attachments without a logged API error and joins them to policy assessments valid for the account and event time. Preserves actor and beneficiary separately; policy attachment does not prove unrestricted effective permissions or malicious privilege escalation.,Threat Hunting / Cloud Privileges,"[""{{AWS_AUDIT_DATASET}}"", ""{{REVIEWED_HIGH_PRIVILEGE_POLICY_HISTORY}}""]",SCHEMA_BINDING_TEMPLATE,Threat Hunting,Cortex XSIAM / Interactive XQL Search,"{""id"": ""T1098.003"", ""technique"": ""Additional Cloud Roles"", ""tactics"": ""Persistence (TA0003); Privilege Escalation (TA0004)""}",REQUIRES_SCHEMA_BINDING,MEDIUM,queries/threat-hunting/cloud-privileges/n070-threat-hunting-aws-attachments-of-reviewed-high-privilege-policies.xql
N071,TH-047,Threat Hunting - AWS Access Key Creation and First Observed Use,Tracks AWS IAM access-key creation and the first matching use visible within the bounded window using only non-secret credential identifiers in the explicit projection. Keeps unmatched creations for review and distinguishes legitimate rotation from suspicious additional credentials.,Threat Hunting / Cloud Credentials,"[""{{AWS_ACCESS_KEY_USE_EVENTS}}"", ""{{AWS_AUDIT_DATASET}}""]",SCHEMA_BINDING_TEMPLATE,Threat Hunting,Cortex XSIAM / Interactive XQL Search,"{""id"": ""T1098.001"", ""technique"": ""Additional Cloud Credentials"", ""tactics"": ""Persistence (TA0003)""}",REQUIRES_SCHEMA_BINDING,MEDIUM,queries/threat-hunting/cloud-credentials/n071-threat-hunting-aws-access-key-creation-and-first-observed-use.xql
N072,TH-048,Threat Hunting - Kubernetes Pod Exec and Attach Audit Responses,"Returns Kubernetes pod exec and attach audit response stages with principal, target and original response code. Keeps streaming and completed response stages visible; an API request or protocol upgrade does not prove that a command ran inside the container.",Threat Hunting / Kubernetes Access,"[""{{KUBERNETES_AUDIT_DATASET}}""]",SCHEMA_BINDING_TEMPLATE,Threat Hunting,Cortex XSIAM / Interactive XQL Search,"{""id"": ""T1059.013"", ""technique"": ""Container CLI/API"", ""tactics"": ""Execution (TA0002)""}",REQUIRES_SCHEMA_BINDING,MEDIUM,queries/threat-hunting/kubernetes-access/n072-threat-hunting-kubernetes-pod-exec-and-attach-audit-responses.xql
N073,TH-049,Threat Hunting - Kubernetes Bindings to Reviewed Privileged Roles,"Finds successful binding changes whose admitted role reference resolves to a reviewed privileged role at event time. Uses cluster, role kind, name and namespace scope explicitly; request patches and role names alone do not establish effective privileges.",Threat Hunting / Kubernetes RBAC,"[""{{KUBERNETES_AUDIT_DATASET}}"", ""{{KUBERNETES_REVIEWED_ROLE_HISTORY}}""]",SCHEMA_BINDING_TEMPLATE,Threat Hunting,Cortex XSIAM / Interactive XQL Search,"{""id"": ""T1098.006"", ""technique"": ""Additional Container Cluster Roles"", ""tactics"": ""Persistence (TA0003); Privilege Escalation (TA0004)""}",REQUIRES_SCHEMA_BINDING,MEDIUM,queries/threat-hunting/kubernetes-rbac/n073-threat-hunting-kubernetes-bindings-to-reviewed-privileged-roles.xql
N074,TH-050,Threat Hunting - Admitted Containers with Privileged or Host-Access Settings,"Selects admitted normal, init and ephemeral container specifications with privileged execution or host-access settings. Requires normalized admitted specs and mounted-volume resolution; a requested privileged spec does not establish admission or a running container.",Threat Hunting / Kubernetes Workloads,"[""{{ADMITTED_KUBERNETES_CONTAINER_SPECS}}""]",SCHEMA_BINDING_TEMPLATE,Threat Hunting,Cortex XSIAM / Interactive XQL Search,"{""id"": ""T1610"", ""technique"": ""Deploy Container"", ""tactics"": ""Execution (TA0002)""}",REQUIRES_SCHEMA_BINDING,MEDIUM,queries/threat-hunting/kubernetes-workloads/n074-threat-hunting-admitted-containers-with-privileged-or-host-access-settings.xql
N075,OP-002,Successful RemoteInteractive Logon Records - Schema Binding Template,"Returns destination-side Windows Security 4624 type-10 events, with target principal, source address and logon key preserved after duplicate-delivery removal.",Investigation / RDP Authentication,"[""{{WINDOWS_AUTH_DATASET}}""]",SCHEMA_BINDING_TEMPLATE,Investigation,Cortex XSIAM / Interactive XQL Search,N/A — operational investigation,REQUIRES_SCHEMA_BINDING,MEDIUM,queries/investigation/rdp-authentication/n075-successful-remoteinteractive-logon-records-schema-binding-template.xql
N076,OP-003,Failed RDP Authentication Evidence Review - Schema Binding Template,Selects RemoteInteractive 4625 failures and includes other 4625 logon types only when a verified RDP/NLA provider transaction establishes attribution.,Investigation / RDP Authentication,"[""{{WINDOWS_AUTH_DATASET}}"", ""{{RDP_PROVIDER_FAILURE_DATASET}}""]",SCHEMA_BINDING_TEMPLATE,Investigation,Cortex XSIAM / Interactive XQL Search,N/A — operational investigation,REQUIRES_SCHEMA_BINDING,HIGH,queries/investigation/rdp-authentication/n076-failed-rdp-authentication-evidence-review-schema-binding-template.xql
N077,OP-004,Classified RDP Traffic on Standard and Nonstandard Ports - Schema Binding Template,Shows RDP-classified network observations on any valid destination port and attaches client-process context only through a verified stable process-instance relationship.,Investigation / RDP Network Activity,"[""{{RDP_NETWORK_CLASSIFICATION_DATASET}}""]",SCHEMA_BINDING_TEMPLATE,Investigation,Cortex XSIAM / Interactive XQL Search,N/A — operational investigation,REQUIRES_SCHEMA_BINDING,HIGH,queries/investigation/rdp-network-activity/n077-classified-rdp-traffic-on-standard-and-nonstandard-ports-schema-binding-template.xql
N078,OP-006,Exact IP Investigation Across Address Roles - Schema Binding Template,"Returns exact canonical IP matches across original, translated, DNS-answer and trusted proxy-client roles, preserving source provenance and separate match flags.",Investigation / Network Activity,"[""{{IP_OBSERVATION_DATASET}}""]",SCHEMA_BINDING_TEMPLATE,Investigation,Cortex XSIAM / Interactive XQL Search,N/A — operational investigation,REQUIRES_SCHEMA_BINDING,MEDIUM,queries/investigation/network-activity/n078-exact-ip-investigation-across-address-roles-schema-binding-template.xql
N079,OP-007,Domain DNS and Web Observation Lookup - Schema Binding Template,"Looks up an exact normalized domain and optionally its true subdomains across DNS questions, DNS responses and web requests, preserving each evidence kind and outcome.",Investigation / DNS and Web,"[""{{DOMAIN_OBSERVATION_DATASET}}""]",SCHEMA_BINDING_TEMPLATE,Investigation,Cortex XSIAM / Interactive XQL Search,N/A — operational investigation,REQUIRES_SCHEMA_BINDING,MEDIUM,queries/investigation/dns-and-web/n079-domain-dns-and-web-observation-lookup-schema-binding-template.xql
N080,OP-009,Firewall Blocks and Resets by Initiating Host - Schema Binding Template,"Aggregates verified firewall deny/drop/reset log records by time-valid initiating-host attribution, rule and action, keeping resets separate from policy blocks and unresolved IP attribution explicit.",Investigation / Firewall,"[""{{FIREWALL_TRAFFIC_DATASET}}"", ""{{SOURCE_IP_OWNERSHIP}}""]",SCHEMA_BINDING_TEMPLATE,Investigation,Cortex XSIAM / Interactive XQL Search,N/A — operational investigation,REQUIRES_SCHEMA_BINDING,HIGH,queries/investigation/firewall/n080-firewall-blocks-and-resets-by-initiating-host-schema-binding-template.xql
N081,OP-010,External Permitted Traffic Outside Critical Server Access Paths - Schema Binding Template,Finds policy-permitted traffic from authoritatively external zones to time-valid critical servers when the exact source/server/protocol/port path is absent from a complete approved-path inventory.,Investigation / Critical Assets,"[""{{INBOUND_FIREWALL_TRAFFIC}}"", ""{{CRITICAL_SERVER_IP_INVENTORY}}"", ""{{APPROVED_CRITICAL_ACCESS_PATHS}}""]",SCHEMA_BINDING_TEMPLATE,Investigation,Cortex XSIAM / Interactive XQL Search,N/A — operational investigation,REQUIRES_SCHEMA_BINDING,HIGH,queries/investigation/critical-assets/n081-external-permitted-traffic-outside-critical-server-access-paths-schema-binding-template.xql
N082,OP-012,Investigation - Selected Process with Direct Parent and Children,"Returns a selected process instance, its verified direct parent and direct child starts on one endpoint, preserving causality as separate context.",Investigation / Process Relationships,"[""{{PROCESS_RELATIONSHIPS_DATASET}}""]",SCHEMA_BINDING_TEMPLATE,Investigation,Cortex XSIAM / Interactive XQL Search,N/A — operational investigation,REQUIRES_SCHEMA_BINDING,MEDIUM,queries/investigation/process-relationships/n082-investigation-selected-process-with-direct-parent-and-children.xql
N083,OP-013,Investigation - Selected SHA-256 Process and File Prevalence,"Summarizes a selected SHA-256 across process starts and file-event observations over 30 days, retaining separate evidence-family counts, distinct endpoints, paths/users and first/last observations.",Investigation / File Identity,"[""xdr_data""]",QUERY_CANDIDATE,Investigation,Cortex XSIAM / Interactive XQL Search,N/A — operational investigation,NEEDS_ENVIRONMENT_VALIDATION,MEDIUM,queries/investigation/file-identity/n083-investigation-selected-sha-256-process-and-file-prevalence.xql
N084,OP-014,Investigation - File Creation Write Rename and Deletion Timeline,"Returns validated create/write/rename/delete operations for an exact path on a selected endpoint, preserving both rename paths, producing process, actor and outcome.",Investigation / File Activity,"[""{{FILE_OPERATIONS_DATASET}}""]",SCHEMA_BINDING_TEMPLATE,Investigation,Cortex XSIAM / Interactive XQL Search,N/A — operational investigation,REQUIRES_SCHEMA_BINDING,MEDIUM,queries/investigation/file-activity/n084-investigation-file-creation-write-rename-and-deletion-timeline.xql
N085,OP-015,Investigation - Executable Hashes Newly Observed Against a Prior Baseline,"Finds executable hashes observed in process starts during the last 24 hours but absent from process starts in the preceding 29 days, with current host/path/user context.",Investigation / Executable Baselines,"[""xdr_data""]",QUERY_CANDIDATE,Investigation,Cortex XSIAM / Interactive XQL Search,N/A — operational investigation,NEEDS_ENVIRONMENT_VALIDATION,MEDIUM,queries/investigation/executable-baselines/n085-investigation-executable-hashes-newly-observed-against-a-prior-baseline.xql
N086,OP-016,Asset Visibility - All Reported Software Versions and Asset Groups,"Lists all reported applications, vendors and versions from each endpoint's authoritative latest nonempty application snapshot and enriches actual asset-group membership. Explicitly empty latest reports do not revive older applications.",Asset Visibility / Software Inventory,"[""host_inventory_applications"", ""{{APPLICATION_SNAPSHOT_STATE_DATASET}}"", ""{{ENDPOINT_GROUP_MEMBERSHIP_DATASET}}""]",SCHEMA_BINDING_TEMPLATE,Investigation,Cortex XSIAM / Interactive XQL Search,N/A — operational investigation,REQUIRES_SCHEMA_BINDING,MEDIUM,queries/asset-visibility/software-inventory/n086-asset-visibility-all-reported-software-versions-and-asset-groups.xql
N087,OP-017,Asset Visibility - Latest Local Administrators Membership Snapshot,Lists direct members of the built-in local Administrators group from the latest complete membership snapshot per endpoint. Preserves explicit empty snapshots and excludes domain controllers; nested effective membership requires a separate directory expansion.,Asset Visibility / Local Privileges,"[""{{LOCAL_MEMBERSHIP_SNAPSHOTS}}""]",SCHEMA_BINDING_TEMPLATE,Investigation,Cortex XSIAM / Interactive XQL Search,N/A — operational investigation,REQUIRES_SCHEMA_BINDING,MEDIUM,queries/asset-visibility/local-privileges/n087-asset-visibility-latest-local-administrators-membership-snapshot.xql
N088,OP-018,Investigation - Selected Identity Authentication Timeline,"Returns source-qualified authentication records for one stable principal, retaining raw outcomes, authentication type, target and source address. Requires verified mappings for each included provider and does not merge identities by matching display names.",Investigation / Authentication,"[""{{AUTHENTICATION_EVENTS}}""]",SCHEMA_BINDING_TEMPLATE,Investigation,Cortex XSIAM / Interactive XQL Search,N/A — operational investigation,REQUIRES_SCHEMA_BINDING,MEDIUM,queries/investigation/authentication/n088-investigation-selected-identity-authentication-timeline.xql
N089,OP-019,Investigation - Account Lockouts with Preceding Authentication Failures,Links Windows Security account lockout records to matching target-identity failures in the preceding 30 minutes. Preserves lockouts with no matched failure and shows source codes for investigation without asserting that a particular failure caused the lockout.,Investigation / Account Lockouts,"[""{{WINDOWS_AUTH_FAILURES}}"", ""{{WINDOWS_LOCKOUT_EVENTS}}""]",SCHEMA_BINDING_TEMPLATE,Investigation,Cortex XSIAM / Interactive XQL Search,N/A — operational investigation,REQUIRES_SCHEMA_BINDING,MEDIUM,queries/investigation/account-lockouts/n089-investigation-account-lockouts-with-preceding-authentication-failures.xql
N090,OP-020,Investigation - Privileged Access to Time-Qualified Critical Assets,Correlates successful asset-access records with effective privileged entitlements and critical-asset classification valid at the event time. Requires explicit identity and asset contracts and returns entitlement context without assuming that every privileged access is inappropriate.,Investigation / Privileged Access,"[""{{ASSET_ACCESS_EVENTS}}"", ""{{CRITICAL_ASSET_HISTORY}}"", ""{{PRIVILEGED_ENTITLEMENT_HISTORY}}""]",SCHEMA_BINDING_TEMPLATE,Investigation,Cortex XSIAM / Interactive XQL Search,N/A — operational investigation,REQUIRES_SCHEMA_BINDING,MEDIUM,queries/investigation/privileged-access/n090-investigation-privileged-access-to-time-qualified-critical-assets.xql
N091,OP-021,Asset Visibility - Latest Agent Version and Reported Health,"Lists the latest reported agent version, content version, connectivity and protection state per stable endpoint from a verified health inventory source. Retains report age and tied latest rows rather than treating an old report as proof of current health.",Asset Visibility / Agent Health,"[""{{ENDPOINT_HEALTH_INVENTORY}}""]",SCHEMA_BINDING_TEMPLATE,Investigation,Cortex XSIAM / Interactive XQL Search,N/A — operational investigation,REQUIRES_SCHEMA_BINDING,MEDIUM,queries/asset-visibility/agent-health/n091-asset-visibility-latest-agent-version-and-reported-health.xql
N092,OP-022,Cyber Hygiene - Expected Endpoints with Missing Recent Process or Network Telemetry,Compares an authoritative expected-active endpoint population with the latest process or network record in a seven-day window. Keeps endpoints with no matching telemetry and shows independent heartbeat context; silence is an investigation lead rather than proof of agent failure.,Cyber Hygiene / Collection Coverage,"[""xdr_data"", ""{{EXPECTED_ACTIVE_ENDPOINTS}}""]",SCHEMA_BINDING_TEMPLATE,Investigation,Cortex XSIAM / Interactive XQL Search,N/A — operational investigation,REQUIRES_SCHEMA_BINDING,MEDIUM,queries/cyber-hygiene/collection-coverage/n092-cyber-hygiene-expected-endpoints-with-missing-recent-process-or-network-telemetry.xql
N093,OP-023,Security Operations - Domain Controller Operational Event Timeline,"Returns an approved set of replication, DNS, time and service events on hosts confirmed as domain controllers at event time. Joins exact provider/channel/event selections to prevent cross-provider event-ID collisions.",Security Operations / Domain Controllers,"[""{{APPROVED_DC_EVENT_SELECTION}}"", ""{{DC_OPERATIONAL_EVENTS}}"", ""{{DOMAIN_CONTROLLER_HISTORY}}""]",SCHEMA_BINDING_TEMPLATE,Investigation,Cortex XSIAM / Interactive XQL Search,N/A — operational investigation,REQUIRES_SCHEMA_BINDING,MEDIUM,queries/security-operations/domain-controllers/n093-security-operations-domain-controller-operational-event-timeline.xql
N094,OP-024,Security Operations - Cortex Management Audit Timeline,"Returns one day of Cortex management-audit records with actor, host, category, result and severity context. Preserves reported outcomes and supports administrative review without treating every audit record as a successful configuration change.",Security Operations / Cortex Audit,"[""management_auditing""]",QUERY_CANDIDATE,Investigation,Cortex XSIAM / Interactive XQL Search,N/A — operational investigation,NEEDS_ENVIRONMENT_VALIDATION,MEDIUM,queries/security-operations/cortex-audit/n094-security-operations-cortex-management-audit-timeline.xql
N095,OP-025,Security Operations - Cortex Role and API Credential Lifecycle Audit,"Selects verified role, permission and API-credential lifecycle audit actions and presents safe target identifiers with responsible identity and reported outcome. Requires exact category/action bindings and intentionally excludes credential values and raw request bodies.",Security Operations / Cortex Audit,"[""{{ROLE_API_AUDIT_SOURCE}}""]",SCHEMA_BINDING_TEMPLATE,Investigation,Cortex XSIAM / Interactive XQL Search,N/A — operational investigation,REQUIRES_SCHEMA_BINDING,MEDIUM,queries/security-operations/cortex-audit/n095-security-operations-cortex-role-and-api-credential-lifecycle-audit.xql
N096,OP-026,Security Operations - Cortex Response Requests and Terminal Outcomes,Links Cortex response requests to terminal audit records by stable action and endpoint identity within 24 hours. Preserves requests without a terminal record and reports original outcomes; no response action is executed by this query.,Security Operations / Response Audit,"[""{{RESPONSE_AUDIT_EVENTS}}""]",SCHEMA_BINDING_TEMPLATE,Investigation,Cortex XSIAM / Interactive XQL Search,N/A — operational investigation,REQUIRES_SCHEMA_BINDING,MEDIUM,queries/security-operations/response-audit/n096-security-operations-cortex-response-requests-and-terminal-outcomes.xql
N097,OP-027,Security Operations - Collector Error and Warning Audit Records,Returns collector error and warning audit records with instance and Broker VM context from collection_auditing. Supports failure triage and subsequent recovery pivots; a historical warning does not establish a currently unhealthy collector.,Security Operations / Collection Health,"[""collection_auditing""]",QUERY_CANDIDATE,Investigation,Cortex XSIAM / Interactive XQL Search,N/A — operational investigation,NEEDS_ENVIRONMENT_VALIDATION,MEDIUM,queries/security-operations/collection-health/n097-security-operations-collector-error-and-warning-audit-records.xql
N098,OP-028,Security Operations - Data Source Freshness and Interval Volume,"Shows per-source ingestion volume, delay metrics and last-log age from metrics_view over one day. Keeps source identity dimensions and zero intervals supplied by the preset; freshness and volume require comparison with each source collection schedule.",Security Operations / Ingestion Health,"[""preset:metrics_view""]",QUERY_CANDIDATE,Investigation,Cortex XSIAM / Interactive XQL Search,N/A — operational investigation,NEEDS_ENVIRONMENT_VALIDATION,MEDIUM,queries/security-operations/ingestion-health/n098-security-operations-data-source-freshness-and-interval-volume.xql
N099,OP-029,Investigation - Selected AWS Account API Audit Timeline,"Returns AWS API audit activity for one account with operation, actor/session issuer, region, event category and original error code. Keeps management and data-event coverage explicit and does not collapse an assumed-role session into the human who may have initiated it.",Investigation / AWS Audit,"[""{{AWS_AUDIT_DATASET}}""]",SCHEMA_BINDING_TEMPLATE,Investigation,Cortex XSIAM / Interactive XQL Search,N/A — operational investigation,REQUIRES_SCHEMA_BINDING,MEDIUM,queries/investigation/aws-audit/n099-investigation-selected-aws-account-api-audit-timeline.xql
N100,OP-030,Investigation - Kubernetes Audit Timeline with Time-Valid Workload Context,"Presents response-stage Kubernetes audit events for one cluster and adds workload context only when cluster, stable object UID and inventory validity match. Keeps unmatched audit events visible and avoids assigning current workload names retrospectively to recreated objects.",Investigation / Kubernetes Audit,"[""{{KUBERNETES_AUDIT_DATASET}}"", ""{{KUBERNETES_WORKLOAD_IDENTITY_HISTORY}}""]",SCHEMA_BINDING_TEMPLATE,Investigation,Cortex XSIAM / Interactive XQL Search,N/A — operational investigation,REQUIRES_SCHEMA_BINDING,MEDIUM,queries/investigation/kubernetes-audit/n100-investigation-kubernetes-audit-timeline-with-time-valid-workload-context.xql
